timestamp,flux_nA
2025-11-02T07:30:09.652,0.76
2025-11-02T07:30:10.149,0.75
2025-11-02T07:30:10.658,0.76
2025-11-02T07:30:11.177,0.76
2025-11-02T07:30:11.663,0.7100000000000001
2025-11-02T07:30:12.176,0.7100000000000001
2025-11-02T07:30:12.681,0.68
2025-11-02T07:30:13.194,0.68
2025-11-02T07:30:13.706,0.7
2025-11-02T07:30:14.208,0.64
2025-11-02T07:30:14.709,0.64
2025-11-02T07:30:15.212,0.6699999999999999
2025-11-02T07:30:15.719,0.62
2025-11-02T07:30:16.233,0.65
2025-11-02T07:30:16.724,0.62
2025-11-02T07:30:17.226,0.63
2025-11-02T07:30:17.721,0.61
2025-11-02T07:30:18.228,0.61
2025-11-02T07:30:18.730,0.5900000000000001
2025-11-02T07:30:19.212,0.63
2025-11-02T07:30:19.728,0.58
2025-11-02T07:30:20.226,0.6
2025-11-02T07:30:20.721,0.58
2025-11-02T07:30:21.222,0.57
2025-11-02T07:30:21.738,0.57
2025-11-02T07:30:22.252,0.5900000000000001
2025-11-02T07:30:22.759,0.57
2025-11-02T07:30:23.252,0.54
2025-11-02T07:30:23.774,0.58
2025-11-02T07:30:24.263,0.57
2025-11-02T07:30:24.754,0.58
2025-11-02T07:30:25.269,0.58
2025-11-02T07:30:25.766,0.54
2025-11-02T07:30:26.254,0.5499999999999999
2025-11-02T07:30:26.757,0.56
2025-11-02T07:30:27.269,0.54
2025-11-02T07:30:27.786,0.5499999999999999
2025-11-02T07:30:28.298,0.5199999999999999
2025-11-02T07:30:28.780,0.5900000000000001
2025-11-02T07:30:29.295,0.5900000000000001
2025-11-02T07:30:29.792,0.5499999999999999
2025-11-02T07:30:30.285,0.5499999999999999
2025-11-02T07:30:30.796,0.56
2025-11-02T07:30:31.291,0.53
2025-11-02T07:30:31.790,0.5499999999999999
2025-11-02T07:30:32.286,0.54
2025-11-02T07:30:32.787,0.54
2025-11-02T07:30:33.289,0.54
